Community ID,Nodes,Label,Purity,Entropy
0,547,17,0.20475319926873858,2.370902660021602
1,932,17,0.23068669527896996,2.320267155017993
2,1492,17,0.2064343163538874,2.366510950318042
3,156,10,0.1987179487179487,2.331574374198474
4,608,17,0.18092105263157895,2.4150474990402473
5,424,17,0.21226415094339623,2.418033921021553
6,245,17,0.2,2.4264576657042176
7,1001,17,0.2007992007992008,2.3679143076723306
8,25,17,0.4,1.6250824915260846
9,323,17,0.21052631578947367,2.261846265787909
10,1056,17,0.21117424242424243,2.3705674513627497
11,87,17,0.21839080459770116,2.266364447303668
12,64,10,0.28125,2.045309481553652
13,30,0,0.16666666666666666,2.1541292921653583
14,13,3,0.23076923076923078,1.991509361356614
15,4,6,0.25,1.3862943611198906
16,48,10,0.20833333333333334,2.2465868588718862
17,97,10,0.24742268041237114,2.1792098914412548
18,154,17,0.18181818181818182,2.300133417115124
19,40,17,0.175,2.2220898604182153
20,157,17,0.20382165605095542,2.288162940611027
21,8,6,0.25,1.7328679513998633
22,46,17,0.2608695652173913,2.1705263545684277
23,24,17,0.20833333333333334,2.1031188448404357
24,5,10,0.4,1.3321790402101223
25,11,10,0.36363636363636365,1.6417347121875212
26,4,5,0.25,1.3862943611198906
27,7,17,0.42857142857142855,1.4750763110546947
28,7,17,0.42857142857142855,1.4750763110546947
29,5,17,0.4,1.3321790402101223
30,4,0,0.5,1.0397207708399179
